Rank  | Name             | TS | W - L | Lifeforce
146   | ㄴㄱ               | 7  | 3 - 2 | 11,846,932
147   | Ecstasy          | 1  | 4 - 1 | 11,841,648
148   | /rope/           | 9  | 3 - 2 | 11,827,318
149   | 히사시부리            | 12  | 3 - 2 | 11,809,792
150   | Moogles          | 6  | 3 - 2 | 11,808,159
151   | SleepingAngels   | 10  | 4 - 1 | 11,801,097
152   | OuRHa            | 6  | 3 - 2 | 11,720,634
153   | OrcinusOrca      | 7  | 3 - 2 | 11,719,417
154   | 새벽               | 13  | 4 - 1 | 11,704,718
155   | Elysium          | 4  | 3 - 2 | 11,703,569
156   | Belial           | 8  | 3 - 2 | 11,698,320
157   | BeAsG0Ds         | 5  | 4 - 1 | 11,683,586
158   | Nexus            | 9  | 4 - 1 | 11,673,035
159   | 의미               | 11  | 4 - 1 | 11,657,359
160   | 잔향               | 12  | 3 - 2 | 11,645,341
161   | AlmondMilk       | 13  | 3 - 2 | 11,630,085
162   | ♥TiredTaxpayers♥ | 10  | 3 - 2 | 11,628,911
163   | Axolotl生         | 8  | 4 - 1 | 11,623,545
164   | GrimmNightmare   | 5  | 4 - 1 | 11,623,500
165   | X̷I̷I̷I̷         | 7  | 4 - 1 | 11,602,134
166   | KAIJU            | 8  | 3 - 2 | 11,595,605
167   | Unseelie         | 8  | 4 - 1 | 11,585,847
168   | Rapture          | 4  | 3 - 2 | 11,572,727
169   | Vroom            | 11  | 3 - 2 | 11,569,705
170   | Lost_Cause       | 10  | 4 - 1 | 11,562,440
171   | Materia          | 8  | 3 - 2 | 11,519,592
172   | Avarice          | 10  | 3 - 2 | 11,509,941
173   | KULTURE          | 9  | 3 - 2 | 11,504,448
174   | Eclipse          | 7  | 3 - 2 | 11,503,355
175   | Uncharted        | 5  | 3 - 2 | 11,445,355
176   | Homura炎          | 1  | 4 - 1 | 11,444,769
177   | Liquid           | 10  | 3 - 2 | 11,418,106
178   | CrimsonTears     | 8  | 3 - 2 | 11,415,250
179   | ArkainaKore      | 8  | 3 - 2 | 11,369,028
180   | EatPant2         | 10  | 4 - 1 | 11,353,244
181   | [Not]Eternia     | 9  | 4 - 1 | 11,285,972
182   | Phantoms         | 2  | 3 - 2 | 11,224,640
183   | LammyCult        | 9  | 4 - 1 | 11,203,468
184   | PlayWoW          | 13  | 3 - 2 | 11,191,213
185   | 福Lucky♡          | 1  | 4 - 1 | 11,158,659
186   | Lunar日食          | 8  | 3 - 2 | 11,147,469
187   | VanitaS          | 3  | 3 - 2 | 11,137,561
188   | Otaku            | 9  | 4 - 1 | 11,118,947
189   | Alliance         | 9  | 3 - 2 | 11,114,956
190   | HoloLive         | 12  | 4 - 1 | 11,086,950
191   | Neko★彡彡          | 13  | 2 - 3 | 11,079,341
192   | Memento          | 11  | 3 - 2 | 11,059,340
193   | 디시인사이드           | 11  | 3 - 2 | 11,054,501
194   | Nazarick         | 3  | 4 - 1 | 11,026,402
195   | Noragami         | 4  | 3 - 2 | 11,008,272
196   | Chaos            | 10  | 3 - 2 | 10,987,475
197   | WildRose         | 8  | 3 - 2 | 10,982,746
198   | iGod             | 6  | 3 - 2 | 10,959,143
199   | Tempest          | 12  | 4 - 1 | 10,953,291
200   | 카레맛집             | 12  | 3 - 2 | 10,928,077
201   | Nameless         | 8  | 4 - 1 | 10,926,174
202   | Puzzles          | 9  | 3 - 2 | 10,913,106
203   | Ichariba         | 1  | 3 - 2 | 10,903,139
204   | ꧁SnowSanctuary꧂  | 11  | 3 - 2 | 10,895,616
205   | 영원               | 12  | 3 - 2 | 10,883,018
206   | Lucklets         | 4  | 3 - 2 | 10,865,259
207   | 14vs1            | 1  | 3 - 2 | 10,860,874
208   | Phantasmagoria   | 5  | 2 - 3 | 10,847,214
209   | Wormhole         | 6  | 4 - 1 | 10,844,098
210   | Quebec           | 6  | 2 - 3 | 10,781,537
211   | Eternum          | 8  | 3 - 2 | 10,761,663
212   | Elkia            | 1  | 3 - 2 | 10,756,742
213   | Happy            | 12  | 3 - 2 | 10,742,052
214   | MilkTea自         | 1  | 3 - 2 | 10,710,967
215   | Void             | 7  | 3 - 2 | 10,706,687
216   | TakoYaki         | 13  | 3 - 2 | 10,673,574
217   | owo7             | 13  | 2 - 3 | 10,645,902
218   | HupGuard         | 5  | 3 - 2 | 10,641,354
219   | Fables           | 10  | 4 - 1 | 10,629,795
220   | Ikimasu          | 7  | 3 - 2 | 10,614,867
221   | 밤하늘              | 1  | 3 - 2 | 10,608,588
222   | Faustian         | 7  | 3 - 2 | 10,586,398
223   | Guardians        | 12  | 3 - 2 | 10,585,285
224   | Carmesí          | 9  | 3 - 2 | 10,585,149
225   | Rayearth         | 7  | 4 - 1 | 10,574,578
226   | PHAEDRA          | 10  | 3 - 2 | 10,573,703
227   | Precure          | 4  | 4 - 1 | 10,569,353
228   | RosaGigantea     | 8  | 3 - 2 | 10,563,151
229   | SINcerity        | 5  | 3 - 2 | 10,560,511
230   | Avantheim        | 13  | 3 - 2 | 10,548,846
231   | Smh-3-           | 9  | 3 - 2 | 10,546,075
232   | OFFtopic         | 6  | 3 - 2 | 10,518,783
233   | Hazelnut         | 5  | 3 - 2 | 10,493,505
234   | /sagg/           | 9  | 3 - 2 | 10,480,504
235   | Shikibu          | 9  | 3 - 2 | 10,476,076
236   | [Blank]          | 5  | 3 - 2 | 10,464,180
237   | Moonfall         | 4  | 3 - 2 | 10,463,311
238   | 냥냥펀치             | 13  | 3 - 2 | 10,452,658
239   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 7  | 3 - 2 | 10,450,361
240   | Bananas          | 10  | 3 - 2 | 10,449,516
241   | Cthuwu           | 10  | 3 - 2 | 10,415,020
242   | DayDream         | 5  | 2 - 3 | 10,405,776
243   | ClammyClam       | 5  | 2 - 3 | 10,389,492
244   | FoxTails         | 13  | 4 - 1 | 10,386,417
245   | Imperial         | 7  | 3 - 2 | 10,368,115
246   | TheGuild         | 4  | 4 - 1 | 10,343,487
247   | La_Secte         | 5  | 3 - 2 | 10,329,766
248   | BadLuck          | 9  | 3 - 2 | 10,329,435
249   | Sleepless        | 10  | 3 - 2 | 10,325,491
250   | Tiramisu         | 8  | 2 - 3 | 10,304,454
251   | BloodOath        | 1  | 3 - 2 | 10,283,115
252   | 신오앨리스            | 12  | 4 - 1 | 10,282,043
253   | 765Pro           | 4  | 3 - 2 | 10,246,464
254   | AllStars         | 4  | 3 - 2 | 10,244,010
255   | ~Epiphany~       | 3  | 4 - 1 | 10,230,311
256   | Aether           | 4  | 3 - 2 | 10,229,177
257   | Genesis          | 8  | 4 - 1 | 10,228,670
258   | TeaCats          | 13  | 3 - 2 | 10,213,262
259   | Elegy            | 6  | 3 - 2 | 10,199,955
260   | Pequod           | 4  | 3 - 2 | 10,191,917
261   | LosMiMichitos    | 9  | 3 - 2 | 10,167,978
262   | Athenaeum        | 6  | 3 - 2 | 10,148,966
263   | Abyss            | 8  | 2 - 3 | 10,142,364
264   | Lethaeus         | 6  | 4 - 1 | 10,137,920
265   | MoguMogu         | 12  | 4 - 1 | 10,104,764
266   | PowerUP          | 9  | 3 - 2 | 10,104,460
267   | ZaWarudo         | 3  | 3 - 2 | 10,085,444
268   | AlioRegnum       | 3  | 4 - 1 | 10,069,702
269   | .·´✧Depora✧`·.   | 7  | 3 - 2 | 10,063,695
270   | Aussie           | 8  | 3 - 2 | 10,053,927
271   | TRIAD            | 13  | 4 - 1 | 10,043,463
272   | Squids           | 10  | 3 - 2 | 10,026,675
273   | 코코는병아리           | 11  | 4 - 1 | 10,024,139
274   | AstessiaJC       | 13  | 2 - 3 | 9,956,906
275   | WildHunt         | 6  | 3 - 2 | 9,952,611
276   | Monochrome       | 5  | 3 - 2 | 9,946,907
277   | Draconic         | 1  | 2 - 3 | 9,938,398
278   | Schwert          | 10  | 3 - 2 | 9,909,905
279   | PhantomTroupe    | 10  | 3 - 2 | 9,883,661
280   | TheNorth         | 7  | 3 - 2 | 9,864,986
